target_name	query	matched_word	matched_type	matched_child_type	source_url	city_url	score
成都	成都	成都	district	CITY	https://you.ctrip.com/place/104.html	https://you.ctrip.com/sight/104.html	295
扬州	扬州	扬州	district	CITY	https://you.ctrip.com/place/12.html	https://you.ctrip.com/sight/12.html	295
承德	承德	承德	district	CITY	https://you.ctrip.com/place/135.html	https://you.ctrip.com/sight/135.html	295
抚州	抚州	抚州	district	CITY	https://you.ctrip.com/place/875.html	https://you.ctrip.com/sight/875.html	295
抚顺	抚顺	抚顺	district	CITY	https://you.ctrip.com/place/514.html	https://you.ctrip.com/sight/514.html	295
拉萨	拉萨	拉萨	district	CITY	https://you.ctrip.com/place/36.html	https://you.ctrip.com/sight/36.html	295
揭阳	揭阳	揭阳	district	CITY	https://you.ctrip.com/place/835.html	https://you.ctrip.com/sight/835.html	295
攀枝花	攀枝花	攀枝花	district	CITY	https://you.ctrip.com/place/786.html	https://you.ctrip.com/sight/786.html	295
文山	文山壮族苗族自治州	文山壮族苗族自治州	district	CITY	https://you.ctrip.com/place/511.html	https://you.ctrip.com/sight/511.html	275
新乡	新乡	新乡	district	CITY	https://you.ctrip.com/place/474.html	https://you.ctrip.com/sight/474.html	295
新余	新余	新余	district	CITY	https://you.ctrip.com/place/878.html	https://you.ctrip.com/sight/878.html	295
无锡	无锡	无锡	district	CITY	https://you.ctrip.com/place/10.html	https://you.ctrip.com/sight/10.html	295
日喀则	日喀则	日喀则	district	CITY	https://you.ctrip.com/place/100.html	https://you.ctrip.com/sight/100.html	295
日照	日照	日照	district	CITY	https://you.ctrip.com/place/622.html	https://you.ctrip.com/sight/622.html	295
昆明	昆明	昆明	district	CITY	https://you.ctrip.com/place/29.html	https://you.ctrip.com/sight/29.html	295
昆玉	昆玉	昆玉	district	CITY	https://you.ctrip.com/place/2014471.html	https://you.ctrip.com/sight/2014471.html	295
昌吉	昌吉回族自治州	昌吉回族自治州	district	CITY	https://you.ctrip.com/place/923.html	https://you.ctrip.com/sight/923.html	275
昌江	昌江	昌江	district	CITY	https://you.ctrip.com/place/2456.html	https://you.ctrip.com/sight/2456.html	295
昭通	昭通	昭通	district	CITY	https://you.ctrip.com/place/929.html	https://you.ctrip.com/sight/929.html	295
晋中	晋中	晋中	district	CITY	https://you.ctrip.com/place/639.html	https://you.ctrip.com/sight/639.html	295
晋城	晋城	晋城	district	CITY	https://you.ctrip.com/place/665.html	https://you.ctrip.com/sight/665.html	295
普洱	普洱	普洱	district	CITY	https://you.ctrip.com/place/928.html	https://you.ctrip.com/sight/928.html	295
景德镇	景德镇	景德镇	district	CITY	https://you.ctrip.com/place/405.html	https://you.ctrip.com/sight/405.html	295
曲靖	曲靖	曲靖	district	CITY	https://you.ctrip.com/place/509.html	https://you.ctrip.com/sight/509.html	295
朔州	朔州	朔州	district	CITY	https://you.ctrip.com/place/903.html	https://you.ctrip.com/sight/903.html	295
朝阳	朝阳	朝阳	district	CITY	https://you.ctrip.com/place/1104.html	https://you.ctrip.com/sight/1104.html	295
本溪	本溪	本溪	district	CITY	https://you.ctrip.com/place/463.html	https://you.ctrip.com/sight/463.html	295
来宾	来宾	来宾	district	CITY	https://you.ctrip.com/place/839.html	https://you.ctrip.com/sight/839.html	295
杭州	杭州	杭州	district	CITY	https://you.ctrip.com/place/14.html	https://you.ctrip.com/sight/14.html	295
松原	松原	松原	district	CITY	https://you.ctrip.com/place/873.html	https://you.ctrip.com/sight/873.html	295
林芝	林芝	林芝	district	CITY	https://you.ctrip.com/place/126.html	https://you.ctrip.com/sight/126.html	295
枣庄	枣庄	枣庄	district	CITY	https://you.ctrip.com/place/656.html	https://you.ctrip.com/sight/656.html	295
柳州	柳州	柳州	district	CITY	https://you.ctrip.com/place/143.html	https://you.ctrip.com/sight/143.html	295
株洲	株洲	株洲	district	CITY	https://you.ctrip.com/place/1174.html	https://you.ctrip.com/sight/1174.html	295
桂林	桂林	桂林	district	CITY	https://you.ctrip.com/place/28.html	https://you.ctrip.com/sight/28.html	295
梅州	梅州	梅州	district	CITY	https://you.ctrip.com/place/523.html	https://you.ctrip.com/sight/523.html	295
梧州	梧州	梧州	district	CITY	https://you.ctrip.com/place/142.html	https://you.ctrip.com/sight/142.html	295
楚雄州	楚雄彝族自治州	楚雄彝族自治州	district	CITY	https://you.ctrip.com/place/510.html	https://you.ctrip.com/sight/510.html	255
榆林	榆林	榆林	district	CITY	https://you.ctrip.com/place/485.html	https://you.ctrip.com/sight/485.html	295
武功山	武功山	萍乡武功山风景区	district	SIGHTZONE	https://you.ctrip.com/place/1445145.html	https://you.ctrip.com/sight/1445145.html	155
武威	武威	武威	district	CITY	https://you.ctrip.com/place/290.html	https://you.ctrip.com/sight/290.html	295
武汉	武汉	武汉	district	CITY	https://you.ctrip.com/place/145.html	https://you.ctrip.com/sight/145.html	295
毕节	毕节	毕节	district	CITY	https://you.ctrip.com/place/521.html	https://you.ctrip.com/sight/521.html	295
永州	永州	永州	district	CITY	https://you.ctrip.com/place/869.html	https://you.ctrip.com/sight/869.html	295
汉中	汉中	汉中	district	CITY	https://you.ctrip.com/place/486.html	https://you.ctrip.com/sight/486.html	295
汕头	汕头	汕头	district	CITY	https://you.ctrip.com/place/215.html	https://you.ctrip.com/sight/215.html	295
汕尾	汕尾	汕尾	district	CITY	https://you.ctrip.com/place/624.html	https://you.ctrip.com/sight/624.html	295
江门	江门	江门	district	CITY	https://you.ctrip.com/place/362.html	https://you.ctrip.com/sight/362.html	295
沈阳	沈阳	沈阳	district	CITY	https://you.ctrip.com/place/155.html	https://you.ctrip.com/sight/155.html	295
沧州	沧州	沧州	district	CITY	https://you.ctrip.com/place/540.html	https://you.ctrip.com/sight/540.html	295
河池	河池	河池	district	CITY	https://you.ctrip.com/place/838.html	https://you.ctrip.com/sight/838.html	295
河源	河源	河源	district	CITY	https://you.ctrip.com/place/350.html	https://you.ctrip.com/sight/350.html	295
泉州	泉州	泉州	district	CITY	https://you.ctrip.com/place/243.html	https://you.ctrip.com/sight/243.html	295
泰安	泰安	泰安	district	CITY	https://you.ctrip.com/place/746.html	https://you.ctrip.com/sight/746.html	295
泰州	泰州	泰州	district	CITY	https://you.ctrip.com/place/494.html	https://you.ctrip.com/sight/494.html	295
泸州	泸州	泸州	district	CITY	https://you.ctrip.com/place/604.html	https://you.ctrip.com/sight/604.html	295
洛阳	洛阳	洛阳	district	CITY	https://you.ctrip.com/place/198.html	https://you.ctrip.com/sight/198.html	295
济南	济南	济南	district	CITY	https://you.ctrip.com/place/128.html	https://you.ctrip.com/sight/128.html	295
济宁	济宁	济宁	district	CITY	https://you.ctrip.com/place/658.html	https://you.ctrip.com/sight/658.html	295
济源	济源	济源	district	CITY	https://you.ctrip.com/place/640.html	https://you.ctrip.com/sight/640.html	295
海口	海口	海口	district	CITY	https://you.ctrip.com/place/37.html	https://you.ctrip.com/sight/37.html	295
淄博	淄博	淄博	district	CITY	https://you.ctrip.com/place/536.html	https://you.ctrip.com/sight/536.html	295
淮北	淮北	淮北	district	CITY	https://you.ctrip.com/place/657.html	https://you.ctrip.com/sight/657.html	295
淮南	淮南	淮南	district	CITY	https://you.ctrip.com/place/638.html	https://you.ctrip.com/sight/638.html	295
淮安	淮安	淮安	district	CITY	https://you.ctrip.com/place/351.html	https://you.ctrip.com/sight/351.html	295
深圳	深圳	深圳	district	CITY	https://you.ctrip.com/place/26.html	https://you.ctrip.com/sight/26.html	295
清远	清远	清远	district	CITY	https://you.ctrip.com/place/517.html	https://you.ctrip.com/sight/517.html	295
温州	温州	温州	district	CITY	https://you.ctrip.com/place/153.html	https://you.ctrip.com/sight/153.html	295
渭南	渭南	渭南	district	CITY	https://you.ctrip.com/place/908.html	https://you.ctrip.com/sight/908.html	295
湖州	湖州	湖州	district	CITY	https://you.ctrip.com/place/68.html	https://you.ctrip.com/sight/68.html	295
湘潭	湘潭	湘潭	district	CITY	https://you.ctrip.com/place/1417.html	https://you.ctrip.com/sight/1417.html	295
湘西	湘西土家族苗族自治州	湘西土家族苗族自治州	district	CITY	https://you.ctrip.com/place/496.html	https://you.ctrip.com/sight/496.html	275
湛江	湛江	湛江	district	CITY	https://you.ctrip.com/place/202.html	https://you.ctrip.com/sight/202.html	295
滁州	滁州	滁州	district	CITY	https://you.ctrip.com/place/228.html	https://you.ctrip.com/sight/228.html	295
滨州	滨州	滨州	district	CITY	https://you.ctrip.com/place/660.html	https://you.ctrip.com/sight/660.html	295
漯河	漯河	漯河	district	CITY	https://you.ctrip.com/place/664.html	https://you.ctrip.com/sight/664.html	295
漳州	漳州	漳州	district	CITY	https://you.ctrip.com/place/334.html	https://you.ctrip.com/sight/334.html	295
潍坊	潍坊	潍坊	district	CITY	https://you.ctrip.com/place/226.html	https://you.ctrip.com/sight/226.html	295
潜江	潜江	潜江	district	CITY	https://you.ctrip.com/place/985.html	https://you.ctrip.com/sight/985.html	295
潮州	潮州	潮州	district	CITY	https://you.ctrip.com/place/467.html	https://you.ctrip.com/sight/467.html	295
澄迈	澄迈	澄迈	district	CITY	https://you.ctrip.com/place/2457.html	https://you.ctrip.com/sight/2457.html	295
濮阳	濮阳	濮阳	district	CITY	https://you.ctrip.com/place/581.html	https://you.ctrip.com/sight/581.html	295
烟台	烟台	烟台	district	CITY	https://you.ctrip.com/place/170.html	https://you.ctrip.com/sight/170.html	295
焦作	焦作	焦作	district	CITY	https://you.ctrip.com/place/663.html	https://you.ctrip.com/sight/663.html	295
牡丹江	牡丹江	牡丹江	district	CITY	https://you.ctrip.com/place/264.html	https://you.ctrip.com/sight/264.html	295
玉林	玉林	玉林	district	CITY	https://you.ctrip.com/place/141.html	https://you.ctrip.com/sight/141.html	295
玉溪	玉溪	玉溪	district	CITY	https://you.ctrip.com/place/477.html	https://you.ctrip.com/sight/477.html	295
珠海	珠海	珠海	district	CITY	https://you.ctrip.com/place/27.html	https://you.ctrip.com/sight/27.html	295
琼中	琼中	琼中	district	CITY	https://you.ctrip.com/place/844.html	https://you.ctrip.com/sight/844.html	295
琼海	琼海	琼海	district	CITY	https://you.ctrip.com/place/843.html	https://you.ctrip.com/sight/843.html	295
甘孜	甘孜藏族自治州	甘孜藏族自治州	district	CITY	https://you.ctrip.com/place/754.html	https://you.ctrip.com/sight/754.html	275
白城	白城	白城	district	CITY	https://you.ctrip.com/place/870.html	https://you.ctrip.com/sight/870.html	295
白山	白山	白山	district	CITY	https://you.ctrip.com/place/871.html	https://you.ctrip.com/sight/871.html	295
白沙	白沙	白沙	district	CITY	https://you.ctrip.com/place/2455.html	https://you.ctrip.com/sight/2455.html	295
白银	白银	白银	district	CITY	https://you.ctrip.com/place/828.html	https://you.ctrip.com/sight/828.html	295
百色	百色	百色	district	CITY	https://you.ctrip.com/place/524.html	https://you.ctrip.com/sight/524.html	295
益阳	益阳	益阳	district	CITY	https://you.ctrip.com/place/868.html	https://you.ctrip.com/sight/868.html	295
盘锦	盘锦	盘锦	district	CITY	https://you.ctrip.com/place/602.html	https://you.ctrip.com/sight/602.html	295
眉山	眉山	眉山	district	CITY	https://you.ctrip.com/place/914.html	https://you.ctrip.com/sight/914.html	295
石嘴山	石嘴山	石嘴山	district	CITY	https://you.ctrip.com/place/889.html	https://you.ctrip.com/sight/889.html	295
石家庄	石家庄	石家庄	district	CITY	https://you.ctrip.com/place/199.html	https://you.ctrip.com/sight/199.html	295
石河子	石河子	石河子	district	CITY	https://you.ctrip.com/place/1168.html	https://you.ctrip.com/sight/1168.html	295
神农架	神农架	神农架	district	CITY	https://you.ctrip.com/place/147.html	https://you.ctrip.com/sight/147.html	295
福州	福州	福州	district	CITY	https://you.ctrip.com/place/164.html	https://you.ctrip.com/sight/164.html	295
秦皇岛	秦皇岛	秦皇岛	district	CITY	https://you.ctrip.com/place/132.html	https://you.ctrip.com/sight/132.html	295
红河	红河	红河	district	CITY	https://you.ctrip.com/place/512.html	https://you.ctrip.com/sight/512.html	295
绍兴	绍兴	绍兴	district	CITY	https://you.ctrip.com/place/18.html	https://you.ctrip.com/sight/18.html	295
绥化	绥化	绥化	district	CITY	https://you.ctrip.com/place/856.html	https://you.ctrip.com/sight/856.html	295
绵阳	绵阳	绵阳	district	CITY	https://you.ctrip.com/place/915.html	https://you.ctrip.com/sight/915.html	295
聊城	聊城	聊城	district	CITY	https://you.ctrip.com/place/635.html	https://you.ctrip.com/sight/635.html	295
肇庆	肇庆	肇庆	district	CITY	https://you.ctrip.com/place/269.html	https://you.ctrip.com/sight/269.html	295
自贡	自贡	自贡	district	CITY	https://you.ctrip.com/place/575.html	https://you.ctrip.com/sight/575.html	295
舟山	舟山	舟山	district	CITY	https://you.ctrip.com/place/479.html	https://you.ctrip.com/sight/479.html	295
芜湖	芜湖	芜湖	district	CITY	https://you.ctrip.com/place/457.html	https://you.ctrip.com/sight/457.html	295
苏州	苏州	苏州	district	CITY	https://you.ctrip.com/place/11.html	https://you.ctrip.com/sight/11.html	295
茂名	茂名	茂名	district	CITY	https://you.ctrip.com/place/615.html	https://you.ctrip.com/sight/615.html	295
荆州	荆州	荆州	district	CITY	https://you.ctrip.com/place/413.html	https://you.ctrip.com/sight/413.html	295
莆田	莆田	莆田	district	CITY	https://you.ctrip.com/place/317.html	https://you.ctrip.com/sight/317.html	295
莱芜	莱芜区	莱芜区	district	LOCATION	https://you.ctrip.com/place/794.html	https://you.ctrip.com/sight/794.html	235
菏泽	菏泽	菏泽	district	CITY	https://you.ctrip.com/place/708.html	https://you.ctrip.com/sight/708.html	295
萍乡	萍乡	萍乡	district	CITY	https://you.ctrip.com/place/714.html	https://you.ctrip.com/sight/714.html	295
